    i,        x,     lat,   solar_mon
  277,  0.38250,  22.489, 3.869295E+02
  278,  0.38750,  22.799, 3.861420E+02
  279,  0.39250,  23.110, 3.853428E+02
  280,  0.39750,  23.422, 3.845316E+02
  281,  0.40250,  23.735, 3.837082E+02
  282,  0.40750,  24.048, 3.828726E+02
  283,  0.41250,  24.362, 3.820249E+02
  284,  0.41750,  24.677, 3.811652E+02
  285,  0.42250,  24.993, 3.802935E+02
  286,  0.42750,  25.309, 3.794095E+02
  287,  0.43250,  25.626, 3.785131E+02
  288,  0.43750,  25.944, 3.776043E+02
  289,  0.44250,  26.264, 3.766828E+02
  290,  0.44750,  26.583, 3.757486E+02
  291,  0.45250,  26.904, 3.748015E+02
  292,  0.45750,  27.226, 3.738415E+02
  293,  0.46250,  27.549, 3.728685E+02
  294,  0.46750,  27.872, 3.718827E+02
  295,  0.47250,  28.197, 3.708838E+02
  296,  0.47750,  28.522, 3.698715E+02
  297,  0.48250,  28.849, 3.688458E+02
  298,  0.48750,  29.176, 3.678067E+02
  299,  0.49250,  29.505, 3.667542E+02
  300,  0.49750,  29.835, 3.656881E+02
  301,  0.50250,  30.166, 3.646085E+02
  302,  0.50750,  30.497, 3.635146E+02
  303,  0.51250,  30.830, 3.624063E+02
  304,  0.51750,  31.165, 3.612835E+02
  305,  0.52250,  31.500, 3.601467E+02
  306,  0.52750,  31.837, 3.589960E+02
  307,  0.53250,  32.175, 3.578311E+02
  308,  0.53750,  32.514, 3.566512E+02
  309,  0.54250,  32.854, 3.554561E+02
  310,  0.54750,  33.196, 3.542459E+02
  311,  0.55250,  33.539, 3.530206E+02
  312,  0.55750,  33.883, 3.517802E+02
  313,  0.56250,  34.229, 3.505246E+02
  314,  0.56750,  34.576, 3.492532E+02
  315,  0.57250,  34.925, 3.479661E+02
  316,  0.57750,  35.275, 3.466631E+02
  317,  0.58250,  35.627, 3.453439E+02
  318,  0.58750,  35.980, 3.440085E+02
  319,  0.59250,  36.335, 3.426567E+02
  320,  0.59750,  36.691, 3.412882E+02
  321,  0.60250,  37.049, 3.399031E+02
