    i,        x,     lat,         t2m
  336,  0.67750,  42.649, 2.837589E+02
  337,  0.68250,  43.039, 2.835439E+02
  338,  0.68750,  43.433, 2.833567E+02
  339,  0.69250,  43.828, 2.831450E+02
  340,  0.69750,  44.227, 2.829050E+02
  341,  0.70250,  44.628, 2.826209E+02
  342,  0.70750,  45.032, 2.822907E+02
  343,  0.71250,  45.439, 2.819245E+02
  344,  0.71750,  45.848, 2.815294E+02
  345,  0.72250,  46.261, 2.811216E+02
  346,  0.72750,  46.677, 2.807596E+02
  347,  0.73250,  47.096, 2.804470E+02
  348,  0.73750,  47.519, 2.801397E+02
  349,  0.74250,  47.945, 2.798188E+02
  350,  0.74750,  48.374, 2.795010E+02
  351,  0.75250,  48.807, 2.792129E+02
  352,  0.75750,  49.244, 2.789456E+02
  353,  0.76250,  49.685, 2.786571E+02
  354,  0.76750,  50.130, 2.783458E+02
  355,  0.77250,  50.579, 2.780742E+02
  356,  0.77750,  51.032, 2.778638E+02
  357,  0.78250,  51.490, 2.776687E+02
  358,  0.78750,  51.952, 2.774550E+02
  359,  0.79250,  52.420, 2.772379E+02
  360,  0.79750,  52.892, 2.770397E+02
  361,  0.80250,  53.370, 2.768535E+02
  362,  0.80750,  53.852, 2.766638E+02
  363,  0.81250,  54.341, 2.764698E+02
  364,  0.81750,  54.835, 2.762709E+02
  365,  0.82250,  55.336, 2.760550E+02
  366,  0.82750,  55.843, 2.757833E+02
  367,  0.83250,  56.356, 2.754776E+02
  368,  0.83750,  56.877, 2.752098E+02
  369,  0.84250,  57.405, 2.749798E+02
  370,  0.84750,  57.941, 2.747772E+02
  371,  0.85250,  58.485, 2.745363E+02
  372,  0.85750,  59.037, 2.741612E+02
  373,  0.86250,  59.598, 2.736350E+02
  374,  0.86750,  60.169, 2.729548E+02
  375,  0.87250,  60.750, 2.722618E+02
  376,  0.87750,  61.342, 2.716211E+02
  377,  0.88250,  61.945, 2.711049E+02
  378,  0.88750,  62.561, 2.706382E+02
  379,  0.89250,  63.189, 2.701053E+02
  380,  0.89750,  63.831, 2.694853E+02
  381,  0.90250,  64.489, 2.688475E+02
  382,  0.90750,  65.162, 2.683731E+02
  383,  0.91250,  65.853, 2.679088E+02
  384,  0.91750,  66.563, 2.673503E+02
  385,  0.92250,  67.294, 2.666545E+02
  386,  0.92750,  68.048, 2.661165E+02
  387,  0.93250,  68.828, 2.656877E+02
  388,  0.93750,  69.636, 2.653451E+02
  389,  0.94250,  70.476, 2.651401E+02
  390,  0.94750,  71.352, 2.646593E+02
  391,  0.95250,  72.270, 2.640489E+02
  392,  0.95750,  73.236, 2.636319E+02
  393,  0.96250,  74.259, 2.633253E+02
  394,  0.96750,  75.353, 2.624964E+02
  395,  0.97250,  76.532, 2.620527E+02
  396,  0.97750,  77.823, 2.613869E+02
  397,  0.98250,  79.265, 2.605964E+02
  398,  0.98750,  80.931, 2.602931E+02
  399,  0.99250,  82.978, 2.600833E+02
  400,  0.99750,  85.948, 2.600107E+02
