year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,nonco2_wmghg,aerosol,chapter2_other_anthro,total_anthropogenic,total_natural,total
1829,0.11,0.04,0.01,0.00,0.02,0.00,0.00,-0.00,-0.04,0.00,-0.02,0.20,0.04,0.05,-0.04,-0.01,0.13,0.23,0.36
1830,0.11,0.04,0.01,0.00,0.02,0.00,0.00,-0.00,-0.04,0.00,-0.02,0.20,0.02,0.05,-0.05,-0.01,0.12,0.22,0.34
1831,0.11,0.04,0.01,0.00,0.02,0.00,0.00,-0.00,-0.03,0.00,-0.02,-2.50,-0.01,0.05,-0.04,-0.01,0.13,-2.51,-2.38
1832,0.12,0.04,0.01,0.00,0.02,0.00,0.00,-0.00,-0.03,0.00,-0.02,-1.67,-0.04,0.05,-0.03,-0.01,0.14,-1.71,-1.57
1833,0.12,0.04,0.01,0.00,0.02,0.00,0.00,-0.00,-0.03,0.00,-0.02,-0.47,-0.05,0.05,-0.04,-0.01,0.14,-0.52,-0.39
1834,0.12,0.04,0.01,0.00,0.03,0.00,0.00,-0.00,-0.05,0.00,-0.02,-0.03,-0.05,0.05,-0.05,-0.01,0.13,-0.08,0.05
1835,0.12,0.04,0.01,0.00,0.03,0.00,0.00,-0.00,-0.04,0.00,-0.02,-1.85,-0.02,0.05,-0.04,-0.02,0.13,-1.87,-1.74
1836,0.12,0.04,0.01,0.00,0.03,0.00,0.00,-0.00,-0.04,0.00,-0.02,-1.19,0.04,0.05,-0.05,-0.02,0.13,-1.15,-1.02
1837,0.12,0.04,0.01,0.00,0.03,0.00,0.00,-0.00,-0.05,0.00,-0.02,-0.30,0.09,0.05,-0.05,-0.02,0.13,-0.21,-0.08
1838,0.12,0.04,0.01,0.00,0.03,0.00,0.00,-0.00,-0.05,0.00,-0.02,0.03,0.10,0.05,-0.05,-0.02,0.13,0.13,0.26
1839,0.12,0.04,0.01,0.00,0.03,0.00,0.00,-0.00,-0.05,0.00,-0.03,0.14,0.09,0.05,-0.05,-0.02,0.13,0.23,0.36
