    i,        x,     lat,toa_lw_all_mon
  365,  0.82250,  55.336, 2.146814E+02
  366,  0.82750,  55.843, 2.142369E+02
  367,  0.83250,  56.356, 2.137902E+02
  368,  0.83750,  56.877, 2.133855E+02
  369,  0.84250,  57.405, 2.130173E+02
  370,  0.84750,  57.941, 2.126666E+02
  371,  0.85250,  58.485, 2.122637E+02
  372,  0.85750,  59.037, 2.117077E+02
  373,  0.86250,  59.598, 2.111412E+02
  374,  0.86750,  60.169, 2.106569E+02
  375,  0.87250,  60.750, 2.100090E+02
  376,  0.87750,  61.342, 2.091720E+02
  377,  0.88250,  61.945, 2.084036E+02
  378,  0.88750,  62.561, 2.077271E+02
  379,  0.89250,  63.189, 2.071269E+02
  380,  0.89750,  63.831, 2.065047E+02
  381,  0.90250,  64.489, 2.058374E+02
  382,  0.90750,  65.162, 2.051527E+02
  383,  0.91250,  65.853, 2.045199E+02
  384,  0.91750,  66.563, 2.039332E+02
  385,  0.92250,  67.294, 2.033296E+02
  386,  0.92750,  68.048, 2.027798E+02
  387,  0.93250,  68.828, 2.023551E+02
  388,  0.93750,  69.636, 2.021031E+02
  389,  0.94250,  70.476, 2.019696E+02
  390,  0.94750,  71.352, 2.016474E+02
  391,  0.95250,  72.270, 2.011634E+02
  392,  0.95750,  73.236, 2.007974E+02
  393,  0.96250,  74.259, 2.004314E+02
  394,  0.96750,  75.353, 1.995752E+02
  395,  0.97250,  76.532, 1.989440E+02
  396,  0.97750,  77.823, 1.979378E+02
  397,  0.98250,  79.265, 1.970185E+02
  398,  0.98750,  80.931, 1.967458E+02
  399,  0.99250,  82.978, 1.960161E+02
  400,  0.99750,  85.948, 1.949348E+02
